City,Purchase_Amount
Aliciabury,563.71
Aliciafort,425.23
Aliciafurt,476.71
Aliciahaven,717.96
Alicialand,44.75
Aliciamouth,504.43000000000006
Aliciaport,923.8
Aliciaside,365.07000000000005
Aliciatown,1105.7
Aliciaview,535.0699999999999
Alimouth,633.27
Alishire,230.32
Alisonberg,169.02
Alisonborough,249.8
Alisonfort,476.17
Alisonfurt,28.98
Alisonhaven,365.69000000000005
Alisonport,253.45
Alisonstad,182.04
Alisonton,756.62
Alisonville,53.77
Alitown,93.44
Aliview,97.97
Aliville,16.6
Allenberg,424.24
Allenborough,1385.27
Allenburgh,2651.7200000000003
Allenbury,1114.14
Allenchester,1635.73
Allenfort,1106.01
Allenfurt,391.07
Allenhaven,70.6
Allenmouth,3100.26
Allenport,63.71
Allenshire,758.0
Allenside,420.86
Allenstad,986.1600000000001
Allenton,739.95
Allentown,22.81
Allenview,854.49
Allenville,1271.8600000000001
Allisonberg,479.07
Allisonborough,77.66
Allisonbury,331.31
Allisonchester,564.73
Allisonfort,186.31
Allisonfurt,1459.81
Allisonhaven,262.34
Allisonland,147.28
Allisonmouth,649.85
Allisonshire,260.86
Allisonside,137.84
Allisonstad,499.59000000000003
Allisonton,358.44
Allisonview,368.3
Allisonville,62.379999999999995
Alvaradoberg,243.79
Alvaradoborough,381.51
Alvaradobury,741.0
Alvaradochester,768.46
Alvaradohaven,228.32
Alvaradomouth,799.53
Alvaradoport,413.29
Alvaradoton,10.67
Alvarezborough,702.8900000000001
Alvarezburgh,297.89
Alvarezbury,836.31
Alvarezchester,82.2
Alvarezfort,724.8199999999999
Alvarezhaven,524.23
Alvarezland,103.29
Alvarezmouth,598.9100000000001
Alvarezside,138.35
Alvareztown,889.2
Alvarezville,43.96
Alvinbury,372.06
Alvinchester,398.98
Alvinfort,288.25
Alyssaburgh,717.89
Alyssachester,389.96000000000004
Alyssafurt,598.06
Alyssaland,608.86
Alyssamouth,569.31
Alyssashire,147.8
Alyssaside,176.95
Alyssaview,350.8
Amandaberg,1320.6100000000001
Amandaborough,308.90999999999997
Amandaburgh,1716.63
Amandabury,677.19
Amandachester,2012.25
Amandafort,1294.28
Amandafurt,2237.4
Amandahaven,1521.08
Amandaland,474.08000000000004
Amandamouth,3181.59
Amandaport,1776.53
Amandashire,1402.98
Amandaside,752.46
Amandastad,2301.05
Amandaton,1491.0
Amandatown,2014.8
Amandaview,361.27
Amandaville,386.12
Amberberg,373.19
Amberborough,572.48
Amberburgh,24.35
Amberbury,523.44
Amberchester,491.64
Amberfort,280.33
Amberfurt,83.46
Amberland,1375.34
Ambermouth,2622.84
Amberport,651.54
Ambershire,872.07
Amberside,390.93999999999994
Amberstad,19.92
Amberton,337.91
Ambertown,571.7099999999999
Amberview,371.22
Amberville,519.05
Amyberg,1088.6299999999999
Amyborough,1885.0
Amyburgh,1088.5
Amybury,719.3199999999999
Amychester,1292.91
Amyfort,2429.0
Amyfurt,1419.75
Amyhaven,877.24
Amyland,1518.65
Amymouth,1916.96
Amyport,702.52
Amyshire,1907.45
Amyside,532.28
Amystad,562.03
Amyton,703.74
Amytown,1632.0
Amyview,1167.88
Amyville,1514.26
Anaburgh,791.61
Anachester,481.42
Anamouth,867.42
Anashire,499.48
Anaside,346.89
Anaton,38.37
Andersenfort,165.81
Andersenland,499.93
Andersenmouth,138.96
Andersenton,450.02
Andersonberg,511.99
Andersonborough,1019.1800000000001
Andersonburgh,901.7
Andersonbury,1510.81
Andersonchester,1000.79
Andersonfort,1679.72
Andersonfurt,161.86
Andersonhaven,524.82
Andersonland,1727.98
Andersonmouth,3675.86
Andersonport,1008.53
Andersonshire,1282.85
Andersonside,1937.73
Andersonstad,1590.46
Andersonton,2091.0099999999998
Andersontown,1033.71
Andersonview,1636.13
Andersonville,1363.1100000000001
Andradeburgh,409.38
Andradechester,106.89
Andradefort,399.9
Andradefurt,106.6
Andradeland,77.54
Andradestad,335.81
Andreaborough,851.35
Andreaburgh,1244.24
Andreachester,167.7
Andreafort,592.4399999999999
Andreafurt,1400.3600000000001
Andreahaven,41.85
Andrealand,203.77
Andreamouth,1351.03
Andreaport,90.36
Andreashire,762.9
Andreaside,1063.1200000000001
Andreastad,916.0899999999999
Andreaton,567.94
Andreaview,176.26
Andreborough,512.85
Andrebury,152.19
Andrefurt,320.98
Andrehaven,132.81
Andremouth,335.86
Andresmouth,453.63
Andrestad,137.34
Andreston,158.79
Andreton,394.6
Andreview,477.89
Andrewberg,257.53
Andrewborough,909.05
Andrewburgh,486.42
Andrewbury,3392.77
Andrewchester,2001.52
Andrewfort,1837.19
Andrewfurt,497.25
Andrewhaven,733.22
Andrewland,1739.27
Andrewmouth,2720.7599999999998
Andrewport,1899.81
Andrewsborough,583.34
Andrewsburgh,290.5
Andrewschester,89.36
Andrewsfort,489.91
Andrewshire,657.52
Andrewside,225.57
Andrewsmouth,384.35
Andrewsport,282.22
Andrewstad,818.13
Andrewton,951.81
Andrewtown,418.53999999999996
Andrewview,1686.16
Andrewville,1092.94
Angelaberg,545.54
Angelaborough,1507.23
Angelaburgh,1057.02
Angelabury,976.03
Angelachester,925.69
Angelafort,1377.17
Angelafurt,989.6500000000001
Angelahaven,2508.2
Angelaland,663.06
Angelamouth,2404.38
Angelaport,729.3199999999999
Angelashire,674.24
Angelaside,621.62
Angelaton,2231.86
Angelatown,235.04000000000002
Angelaview,409.14
Angelaville,92.33
Angelborough,24.8
Angelfurt,208.01
Angelicaborough,80.29
Angelicafurt,305.05
Angelicamouth,66.02
Angelicaville,370.05
Angelstad,149.44
Angieborough,319.66
Angieland,232.02
Angiestad,362.25
Angieton,231.1
Angieview,409.36
Anitaberg,181.16
Anitamouth,360.85
Anitaport,448.23
Anitashire,662.14
Anitaton,325.93
Anitaview,133.69
Annaberg,481.36
Annaborough,205.59
Annaburgh,798.47
Annachester,278.15
Annafort,258.74
Annafurt,91.6
Annahaven,710.92
Annamouth,231.82
Annaside,133.87
Annastad,1827.94
Annaton,227.6
Annatown,922.23
Annaview,99.46
Annaville,364.92999999999995
Annberg,16.67
Annborough,500.89
Annbury,38.4
Anneberg,189.3
Anneburgh,382.15
Annebury,257.8
Annechester,363.15
Annefort,546.8299999999999
Annefurt,203.17
Annehaven,21.1
Annemouth,836.0999999999999
Anneshire,381.3
Anneside,210.97
Annestad,839.49
Annetown,218.2
Annetteberg,50.18
Annettefurt,56.25
Annetteland,183.71
Annettemouth,289.78000000000003
Annetteside,309.87
Annettestad,488.03
Annetteton,121.18
Annettetown,201.42
Annetteview,207.86
Annetteville,541.83
Anneville,111.38
Annfort,461.16
Annfurt,162.51
Annhaven,498.06
Annmouth,380.39
Annport,399.73
Annshire,445.22
Annstad,208.81
Annton,173.69
Anntown,438.6
Anthonyberg,2370.86
Anthonyborough,672.84
Anthonyburgh,1004.02
Anthonybury,1265.75
Anthonychester,2583.5
Anthonyfort,1204.3
Anthonyfurt,1367.71
Anthonyhaven,1083.4
Anthonyland,1393.1399999999999
Anthonymouth,1496.99
Anthonyport,2161.68
Anthonyshire,1820.55
Anthonyside,1492.81
Anthonystad,1068.99
Anthonyton,2580.55
Anthonytown,1204.82
Anthonyview,309.53999999999996
Anthonyville,401.25
Antonioberg,191.76
Antonioborough,465.73
Antoniochester,410.95
Antoniofurt,419.40999999999997
Antoniohaven,470.26
Antonioland,211.73
Antoniomouth,574.19
Antonioside,680.06
Antoniostad,205.52
Antoniotown,117.91
Antonioville,85.77
Aprilberg,407.18
Aprilborough,650.51
Aprilburgh,937.4300000000001
Aprilbury,863.57
Aprilchester,406.47
Aprilfort,206.91
Aprilfurt,386.95000000000005
Aprilhaven,482.35
Aprilland,671.94
Aprilmouth,842.12
Aprilport,246.52
Aprilside,1533.68
Aprilstad,350.85
Aprilton,205.5
Aprilville,476.01
Archerfort,281.2
Archertown,269.82
Arellanoberg,599.02
Arellanoburgh,58.81
Arellanostad,55.69
Arianafurt,300.88
Arianatown,153.74
Arianaville,244.05
Ariasberg,228.09
Ariasbury,792.51
Arielborough,432.8
Arielbury,229.07
Arielside,317.79
Armstrongberg,221.56
Armstrongborough,724.86
Armstrongburgh,98.26
Armstrongfort,1206.9
Armstronghaven,651.43
Armstrongland,95.64
Armstrongmouth,147.56
Armstrongport,310.74
Armstrongshire,427.35
Armstrongside,219.88
Armstrongstad,493.21000000000004
Armstrongtown,262.01
Armstrongville,72.05
Arnoldborough,32.94
Arnoldchester,263.67
Arnoldfort,205.6
Arnoldfurt,103.71
Arnoldhaven,302.64
Arnoldland,207.95
Arnoldmouth,591.97
Arnoldport,858.8
Arnoldside,759.02
Arnoldstad,198.78
Arnoldview,280.99
Arnoldville,355.94
Arroyobury,299.17
Arroyochester,157.19
Arroyofort,450.04
Arroyoville,281.04
Arthurchester,114.56
Arthurhaven,16.99
Arthurland,297.14
Arthurmouth,372.76
Arthurton,479.34
Arthurtown,77.69
Ashleebury,122.84
Ashleechester,208.29
Ashleeland,327.97
Ashleemouth,446.14
Ashleeport,207.55
Ashleeshire,182.57
Ashleeville,831.37
Ashleyberg,1253.59
Ashleyborough,616.13
Ashleyburgh,450.83
Ashleybury,755.6099999999999
Ashleychester,2161.46
Ashleyfort,391.6
Ashleyfurt,1043.4
Ashleyhaven,2683.14
Ashleyland,938.41
Ashleymouth,3651.86
Ashleyport,610.99
Ashleyshire,689.99
Ashleyside,1966.8300000000002
Ashleystad,544.63
Ashleyton,727.25
Ashleytown,1028.3400000000001
Ashleyview,2946.25
Ashleyville,1504.1100000000001
Atkinsberg,223.17
Atkinschester,117.48
Atkinsonberg,312.13
Atkinsonfort,385.3
Atkinsonhaven,474.49
Atkinsonland,260.86
Atkinsonside,363.95
Atkinsonton,460.52
Atkinsontown,165.47
Atkinsonview,406.63
Atkinsonville,332.21
Atkinsshire,697.64
Atkinsview,191.19
Audreybury,356.92
Audreyfurt,417.18
Audreyland,218.31
Audreymouth,707.8299999999999
Audreyport,366.52
Audreyshire,271.36
Audreyview,124.62
Austinberg,581.94
Austinborough,338.22
Austinburgh,44.02
Austinbury,447.21
Austinchester,177.77
Austinfort,207.65
Austinfurt,612.72
Austinhaven,233.33
Austinland,512.45
Austinmouth,792.27
Austinport,74.76
Austinshire,131.42
Austinside,1472.48
Austinstad,1177.23
Austinton,249.65
Austintown,185.89
Austinview,841.0699999999999
Austinville,110.87
Autumnfort,423.72
Autumnmouth,104.75
Autumnshire,104.45
Autumnton,246.5
Autumntown,404.78
Autumnview,447.38
Averyfurt,467.35
Averyhaven,374.81
Averyville,299.97
Avilaberg,423.02
Avilaburgh,282.88
Avilabury,293.93
Avilachester,450.6
Avilahaven,381.09000000000003
Avilamouth,36.02
Avilashire,429.5
Avilastad,712.71
Ayalafort,101.85
Ayalamouth,449.06
Ayalashire,570.69
Ayersmouth,494.77
Ayerston,233.97
Baileyberg,372.21000000000004
Baileyborough,891.3399999999999
Baileyburgh,1276.45
Baileychester,829.8399999999999
Baileyfurt,1677.15
Baileyhaven,151.71
Baileyland,901.24
Baileymouth,405.93
Baileyport,640.01
Baileyshire,300.65
Baileyside,320.72
Baileystad,313.69
Baileyton,249.17
Baileytown,775.33
Baileyview,456.38
Baileyville,510.94
Bairdborough,137.16
Bairdfort,157.51
Bairdland,415.32
Bairdport,350.41
Bairdshire,342.11
Bairdside,335.44
Bakerberg,378.31
Bakerborough,269.06
Bakerburgh,713.8100000000001
Bakerfort,91.0
Bakerfurt,339.97
Bakerland,989.0699999999999
Bakermouth,2234.44
Bakershire,945.3399999999999
Bakerton,1006.63
Bakertown,1074.04
Bakerview,678.24
Bakerville,815.5699999999999
Baldwinberg,109.72
Baldwinborough,135.37
Baldwinburgh,216.95
Baldwinfort,425.5
Baldwinfurt,269.08
Baldwinhaven,677.52
Baldwinmouth,811.78
Baldwintown,57.14
Baldwinville,555.24
Ballardberg,337.5
Ballardborough,311.98
Ballardburgh,299.71
Ballardbury,262.76
Ballardhaven,487.7
Ballardland,382.39
Ballardmouth,320.1
Ballardshire,81.46
Ballardstad,89.38
Ballardtown,168.26
Ballardville,26.52
Ballborough,776.74
Ballburgh,497.43
Ballbury,291.0
Ballfort,402.94
Ballmouth,575.27
Ballstad,330.83
Ballville,190.7
Banksborough,460.61
Banksbury,214.65
Banksfort,633.52
Banksland,484.76
Banksmouth,223.12
Banksport,342.17
Banksshire,297.99
Banksside,254.28
Banksview,362.4
Barajasberg,297.7
Barajasburgh,105.76
Barajaschester,216.82
Barajasmouth,280.56
Barajasside,22.33
Barajastown,433.89
Barbaraberg,261.9
Barbaraborough,1028.56
Barbaraburgh,73.21000000000001
Barbarabury,936.76
Barbarachester,717.6700000000001
Barbarafort,379.38
Barbarafurt,323.76
Barbaraland,563.85
Barbaramouth,1986.95
Barbaraport,437.25
Barbaraton,621.4
Barbaratown,176.45
Barbaraview,218.56
Barbermouth,1198.96
Barberport,342.04
Barberview,961.6500000000001
Barkerburgh,492.78
Barkerfort,300.88
Barkerfurt,99.41
Barkerhaven,234.46
Barkerland,473.8
Barkerside,12.66
Barkertown,118.69
Barkerville,70.27
Barnesberg,1169.22
Barnesborough,545.78
Barnesburgh,966.6500000000001
Barnesbury,818.96
Barneschester,131.89
Barnesfurt,99.17
Barnesland,449.72
Barnesmouth,914.28
Barnesport,579.65
Barnesshire,500.31
Barnesside,735.05
Barneston,1797.47
Barnesview,382.16
Barnesville,963.47
Barnettberg,135.14
Barnettborough,644.5799999999999
Barnettburgh,30.57
Barnettbury,231.01
Barnettchester,224.04
Barnetthaven,493.84
Barnettside,814.5999999999999
Barnettstad,465.28
Barnettton,402.65999999999997
Barnetttown,423.07
Barnettview,448.55
Barrberg,326.59
Barrborough,302.14
Barreraborough,258.76
Barreraburgh,863.01
Barrerafort,115.08
Barrerashire,511.25
Barreraside,110.28
Barrettberg,177.74
Barrettfort,780.97
Barrettfurt,80.09
Barretthaven,307.6
Barrettmouth,282.73
Barrettshire,686.21
Barrettton,953.9799999999999
Barrfurt,94.36
Barrhaven,393.72
Barronbury,294.19
Barronhaven,320.01
Barronland,174.77
Barronton,269.48
Barrontown,408.06
Barronview,303.98
Barryberg,455.76
Barryborough,105.8
Barryburgh,446.7
Barrybury,334.19
Barrychester,259.14
Barryfort,35.66
Barryfurt,23.83
Barryhaven,466.01
Barryland,29.71
Barrymouth,455.26
Barryport,669.23
Barryside,369.92
Barrystad,776.33
Barryton,476.52
Barrytown,352.46
Bartlettborough,442.25
Bartletthaven,295.96
Bartlettshire,691.36
Bartonchester,400.73
Bartonland,140.61
Bartonmouth,530.72
Bartonport,342.76
Bartonshire,223.71
Bartonville,522.9200000000001
Bassside,634.9300000000001
Bassstad,698.76
Bassview,293.8
Batesborough,69.42
Batesfurt,445.44
Batesland,592.29
Batesmouth,178.95
Batesstad,156.6
Batesview,359.71
Bauerchester,79.52
Bauerland,332.46
Bauershire,335.56
Bauerside,296.62
Bauerstad,387.73
Bauertown,147.92
Bautistashire,379.71
Bautistaview,223.87
Baxterchester,204.46
Baxterside,449.04
Baxterville,421.09
Beanbury,50.53
Beardbury,305.85
Beardhaven,19.09
Beardside,191.42
Beardville,137.35
Beasleyborough,205.23
Beasleybury,39.17
Beasleyfurt,196.64
Beasleyhaven,17.39
Beasleyport,64.79
Beasleystad,15.95
Beasleyton,342.72
Beckberg,474.05
Beckbury,1184.1
Beckerberg,730.91
Beckerburgh,840.79
Beckerbury,136.23
Beckerfort,248.39
Beckerfurt,98.49
Beckerhaven,58.98
Beckerside,325.61
Beckmouth,291.21000000000004
Beckport,546.3
Beckton,45.94
Becktown,430.27
Beckyberg,253.42
Beckyborough,118.07
Beckyfort,260.02
Beckyfurt,412.35
Beckyhaven,58.47
Beckymouth,457.22
Beckyview,614.55
Beckyville,315.31
Belindamouth,413.3
Bellberg,393.31
Bellborough,293.09
Bellburgh,603.9
Bellbury,764.13
Bellfurt,758.51
Bellland,371.86
Bellmouth,674.7
Bellport,415.9
Bellshire,877.6700000000001
Bellstad,354.0
Belltown,367.83000000000004
Bellview,1585.01
Bellville,432.91
Beltranberg,292.42
Beltranchester,78.46
Beltranfort,236.59
Beltranland,356.42
Beltranmouth,479.63
Benderborough,524.6899999999999
Benderbury,550.96
Bendermouth,447.87
Benitezburgh,402.8
Benitezmouth,413.96
Benitezside,440.73
Benjaminberg,575.59
Benjaminborough,770.56
Benjaminburgh,331.0
Benjaminchester,668.12
Benjaminfort,240.55
Benjaminfurt,793.97
Benjaminhaven,788.73
Benjaminmouth,1080.65
Benjaminport,321.2
Benjaminshire,769.04
Benjaminside,833.1099999999999
Benjaminstad,375.86
Benjaminton,67.47
Benjaminview,462.21999999999997
Bennettborough,771.8199999999999
Bennettburgh,294.91
Bennettbury,91.43
Bennettchester,270.75
Bennettfort,933.31
Bennettfurt,344.86
Bennetthaven,715.53
Bennettland,272.77
Bennettport,269.46
Bennettshire,1115.1399999999999
Bennettside,536.1700000000001
Bennettton,189.42
Bennetttown,21.98
Bennettview,296.96999999999997
Bennettville,323.56
Bensonberg,102.42
Bensonborough,404.01
Bensonburgh,237.82
Bensonbury,739.45
Bensonchester,371.28
Bensonland,495.46
Bensonport,11.37
Bensonside,23.65
Bensonstad,459.19
Bensontown,142.39
Bensonview,375.21
Bentleyburgh,262.57
Bentleyfurt,470.39
Bentleyhaven,472.92
Bentleyshire,392.19
Bentonberg,370.98
Bentonburgh,455.56
Bentonbury,132.22
Bentonland,18.48
Bentonmouth,52.04
Bergerburgh,391.09
Bergerbury,208.7
Bergerfort,957.8
Bergerfurt,409.01
Bergerport,197.15
Bergershire,221.95
Bergerside,335.21
Bergerstad,358.81
Bergerton,488.53
Berghaven,185.25
Bergside,390.68
Bernardbury,311.15
Bernardchester,419.94
Bernardhaven,709.8199999999999
Bernardton,420.5
Berryborough,51.7
Berryburgh,304.17
Berrychester,800.78
Berryhaven,393.01
Berrymouth,598.26
Berryshire,301.62
Bestfort,74.88
Bestland,428.44
Beststad,623.71
Bestton,366.17
Bethanyberg,1346.8899999999999
Bethanyburgh,324.2
Bethanyfort,282.12
Bethanyland,137.86
Bethanymouth,161.72
Bethanyshire,449.65
Bethanystad,159.71
Bethanyton,468.94
Bethanytown,222.4
Bethborough,165.82
Bethburgh,270.82
Bethfort,738.45
Bethhaven,869.4300000000001
Bethmouth,343.36
Bethshire,317.19
Bethside,823.49
Bethstad,589.4
Bethton,270.7
Bethtown,315.16
Bethview,459.32
Bethville,138.16
Bettyberg,85.61
Bettybury,1138.87
Bettyland,213.73
Bettyview,456.8
Beverlyland,176.27
Beverlymouth,305.8
Beverlyside,390.17
Beverlyville,343.99
Biancachester,443.66
Biancamouth,323.11
Biancastad,431.8
Biancaville,451.73
Billfort,213.4
Billshire,347.42
Billychester,106.1
Billyfort,183.36
Billymouth,595.46
Billyshire,268.87
Billystad,568.89
Billytown,26.26
Birdchester,460.4
Birdmouth,133.0
Birdtown,250.26
Bishopburgh,309.73
Bishopbury,195.51
Bishopchester,478.36
Bishopfurt,611.32
Bishophaven,132.17000000000002
Bishopland,140.66
Bishopmouth,932.23
Bishopshire,231.01
Bishopside,13.43
Bishopton,148.37
Bishoptown,26.94
Bishopview,920.53
Blackberg,95.17
Blackborough,310.73
Blackburgh,467.82
Blackburnborough,35.23
Blackburnfurt,486.14
Blackburnland,326.53
Blackburnside,58.02
Blackburnview,229.83
Blackburnville,258.86
Blackbury,802.03
Blackchester,131.27
Blackfort,921.4300000000001
Blackstad,375.05
Blackton,266.82
Blacktown,720.49
Blackville,90.44
Blackwellborough,181.55
Blackwellbury,359.61
Blackwellhaven,103.24
Blairborough,313.34000000000003
Blairbury,157.04
Blairchester,127.77
Blairfurt,259.75
Blairland,183.04
Blairmouth,538.25
Blairshire,460.52
Blairville,37.55
Blakeburgh,276.03
Blakebury,191.22
Blakefort,244.54
Blakefurt,864.02
Blakehaven,591.7
Blakemouth,1204.16
Blakeshire,384.24
Blakeside,395.48
Blaketon,531.99
Blakeview,219.1
Blanchardside,410.01
Blanchardtown,183.6
Blankenshipbury,255.7
Blankenshipland,60.3
Blankenshipport,80.47
Blankenshiptown,61.26
Blankenshipview,14.49
Blevinsbury,327.42
Blevinsfurt,304.86
Blevinston,95.85
Bobbyburgh,256.8
Bobbychester,55.33
Bobbyfort,77.77
Bobbyhaven,201.17
Bobbymouth,486.89
Bobbyport,334.27
Bobbyshire,450.04
Bobbystad,255.67
Bobbyton,266.61
Bobbytown,477.33000000000004
Bobport,363.74
Boltonmouth,444.33
Boltonside,121.41
Boltonstad,256.45
Bondfort,693.97
Bondmouth,443.56
Bonillaborough,520.75
Bonillahaven,203.18
Bonillaland,46.39
Bonillamouth,356.41
Bonillaside,237.51
Bonillastad,175.53
Bonillaville,294.4
Bonnieberg,383.11
Bonniefurt,482.86
Bonnieton,557.87
Bonnieview,47.76
Bonnieville,363.53
Bookerchester,207.51
Bookermouth,320.94
Bookerton,413.09
Booneburgh,467.38
Boonebury,332.03
Boonechester,450.19
Boonemouth,457.09999999999997
Boothburgh,110.65
Boothhaven,482.6
Boothton,109.37
Boothtown,26.04
Bowenberg,428.36
Bowenburgh,147.69
Bowenmouth,625.48
Bowenshire,109.39
Bowenside,158.31
Bowenstad,393.12
Bowenton,407.99
Bowersborough,178.73000000000002
Bowersburgh,475.07
Bowerschester,65.69
Bowersfort,466.29
Bowersland,477.16
Bowersmouth,516.5699999999999
Bowersshire,414.17999999999995
Bowersstad,494.81
Bowerston,344.57
Bowerstown,237.84
Bowersville,456.09
Bowmanhaven,264.4
Bowmanland,435.69
Bowmanport,842.13
Bowmanshire,484.39
Bowmanview,916.44
Bowmanville,419.63
Boydberg,448.63
Boydborough,306.83
Boydburgh,87.63
Boydbury,1358.61
Boydchester,419.57
Boydfort,521.92
Boydfurt,220.59
Boydhaven,454.82
Boydmouth,659.33
Boydport,797.3299999999999
Boydstad,181.28
Boydton,200.70000000000002
Boydtown,54.53
Boydview,165.73
Boydville,467.32000000000005
Boyerberg,278.72
Boyerchester,404.91
Boyermouth,248.98
Boyerside,488.05
Boyerton,224.59
Boyertown,220.08
Boyerville,126.36
Boylefurt,374.94
Boyleshire,226.28
Boyleton,264.06
Bradburgh,242.31
Bradbury,369.45
Bradchester,41.95
Bradfordberg,101.06
Bradfordmouth,185.73
Bradfordport,121.5
Bradfordshire,147.93
Bradfordstad,596.25
Bradfordton,455.77
Bradfordtown,250.27
Bradfurt,71.43
Bradland,224.75
Bradleyberg,14.33
Bradleyborough,171.29
Bradleyburgh,494.26
Bradleybury,340.98
Bradleyfort,855.03
Bradleyfurt,659.13
Bradleyhaven,253.42
Bradleyland,86.81
Bradleymouth,306.28
Bradleyport,559.92
Bradleyshire,631.0899999999999
Bradleyside,837.0899999999999
Bradleystad,1145.97
Bradleyton,24.76
Bradleytown,373.78
Bradleyview,1164.71
Bradleyville,48.4
Bradmouth,84.85
Bradshawfort,67.29
Bradshawview,104.89
Bradstad,344.32
Bradyberg,120.63
Bradyborough,426.11
Bradyburgh,256.36
Bradybury,371.79
Bradyfort,434.58
Bradymouth,990.8399999999999
Bradyshire,318.95
Bradystad,263.81
Bradyview,533.9399999999999
Branchchester,436.55
Branchfurt,82.58
Branchmouth,499.9
Branchshire,220.2
Branchville,442.27
